name,index
Kinh doanh / Bán hàng,0
IT phần mềm,1
Hành chính / Văn phòng,2
Giáo dục / Đào tạo,3
Tư vấn,4
Marketing / Truyền thông / Quảng cáo,5
Vận tải / Kho vận,6
Kế toán / Kiểm toán,7
Quản lý chất lượng (QA/QC),8
Công nghệ thông tin,9
Thư ký / Trợ lý,10
Thời trang,11
Thiết kế đồ họa,12
Nhân sự,13
Tổ chức sự kiện / Quà tặng,14
Xây dựng,15
Y tế / Dược,16
Điện / Điện tử / Điện lạnh,17
Biên / Phiên dịch,18
Cơ khí / Chế tạo / Tự động hóa,19
Ngân hàng / Tài chính,20
Thực phẩm / Đồ uống,21
Luật/Pháp lý,22
Báo chí / Truyền hình,23
Quản lý điều hành,24
Ngành nghề khác,25
Điện tử viễn thông,26
Logistics,27
Khách sạn / Nhà hàng,28
Xuất nhập khẩu,29
IT Phần cứng / Mạng,30
Du lịch,31
Chứng khoán / Vàng / Ngoại tệ,32
Dịch vụ khách hàng,33
Hoạch định/Dự án,34
Tài chính / Đầu tư,35
Công nghệ Ô tô,36
Mỹ phẩm / Trang sức,37
Kiến trúc,38
Bất động sản,39
Thiết kế nội thất,40
Sản xuất,41
Mỹ thuật / Nghệ thuật / Điện ảnh,42
Công nghệ cao,43
Nông / Lâm / Ngư nghiệp,44
Dược phẩm / Công nghệ sinh học,45
Spa / Làm đẹp,46
Hàng tiêu dùng,47
Dệt may / Da giày,48
Hàng hải,49
An toàn lao động,50
Hoá học / Sinh học,51
Bảo trì / Sửa chữa,52
Môi trường / Xử lý chất thải,53
Bưu chính - Viễn thông,54
Hàng gia dụng,55
Bán hàng kỹ thuật,56
Bán lẻ / bán sỉ,57
Bảo hiểm,58
Dầu khí/Hóa chất,59
In ấn / Xuất bản,60
Hàng không,61
NGO / Phi chính phủ / Phi lợi nhuận,62
Địa chất / Khoáng sản,63
Phi chính phủ / Phi lợi nhuận,64
Sản phẩm công nghiệp,65
Hàng cao cấp,66
