id,name,mapped_id
1,An Giang,1
2,Bà RịaVũng Tàu,2
3,Bình Dương,9
4,Bình Phước,10
5,Bình Thuận,11
6,Bình Định,8
7,Bạc Liêu,5
8,Bắc Giang,3
9,Bắc Kạn,4
10,Bắc Ninh,6
11,Bến Tre,7
12,Cao Bằng,14
13,Cà Mau,12
14,Cần Thơ,13
15,Cửu Long,18
16,Gia Lai,22
17,Hoà Bình,30
18,Hà Giang,23
19,Hà Nam,24
20,Hà Nội,25
21,Hà Tĩnh,26
22,Hưng Yên,31
23,Hải Dương,27
24,Hải Phòng,28
25,Hậu Giang,29
26,Hồ Chí Minh,66
27,Khánh Hoà,33
28,Kiên Giang,34
29,Kon Tum,35
30,Lai Châu,36
31,Long An,40
32,Lào Cai,39
33,Lâm Đồng,37
34,Lạng Sơn,38
35,Miền Bắc,41
36,Miền Nam,42
37,Miền Trung,43
38,Nam Định,44
39,Nghệ An,45
40,Ninh Bình,46
41,Ninh Thuận,47
42,Nước Ngoài,56
43,Phú Thọ,49
44,Phú Yên,50
45,Quảng Bình,51
46,Quảng Nam,52
47,Quảng Ngãi,53
48,Quảng Ninh,54
49,Quảng Trị,55
50,Sóc Trăng,57
51,Sơn La,58
52,Thanh Hoá,62
53,Thái Bình,60
54,Thái Nguyên,61
55,Thừa Thiên Huế,63
56,Tiền Giang,64
57,Toàn Quốc,65
58,Trà Vinh,67
59,Tuyên Quang,68
60,Tây Ninh,59
61,Vĩnh Long,69
62,Vĩnh Phúc,70
63,Yên Bái,71
64,Điện Biên,19
65,Đà Nẵng,15
66,Đắc Nông,17
67,Đắk Lắk,16
68,Đồng Nai,20
69,Đồng Tháp,21
