job_title,mod_ind_index
"Nhân Viên Vận Hành Máy (Tách Màu, Máy Xát Trắng...Ngành Gạo)",25
Kỹ Sư Đo Lường,25
Chuyên Viên SEO,25
Kỹ Sư Điều Khiển Tự Động,25
Account Executive,25
Nhân Viên Diễn Hoạt 3D Animator Junior,25
Nhân Viên Helpdesk (Thu Nhập 8-10Tr/Tháng),25
"Quản Trị Hệ Thống - System Admin ( System Engineer , Linux, Dba)",25
Nhân Viên Kỹ Thuật Máy Tính,25
Nhân Viên Hỗ Trợ Kỹ Thuật,25
Business Analyst,25
Product Executive Insurance,25
Chuyên Viên Giám Định Bồi Thường Xe Cơ Giới,25
Nhân Viên Kỹ Thuật,25
Account Manager,25
Kỹ Sư Truyền Dẫn Phát Sóng,25
Account Manager,25
Nhân Viên Kỹ Thuật,25
Leader Team Design,25
Senior Performance Executive,25
Nhân Viên SEO Tại Hà Nội,25
Bridge System Engineer (Jlpt N2),25
Nhân Viên Kỹ Thuật (Kiên Giang/Khánh Hòa/Đồng Nai),25
Nhân Viên SEO - Thu Nhập Lên Tới 15 Triệu,25
Java Dev Fullstack,25
Kỹ Sư Giải Pháp,25
Dms Specialist,25
Kỹ Sư Triển Khai Hệ Thống,25
"Chuyên Viên Tư Vấn- Relationship Manager Hồ Chí Minh (Lương Cứng 16Tr8 + Thưởng, Cấp Ipad)",25
Nhân Viên Kỹ Thuật Dây Máy,25
Nhân Viên Kỹ Thuật,25
Kỹ Sư Cầu Nối - Brse,25
Nhân Viên Lễ Tân,25
Lễ Tân Kiêm Model,25
Java Dev Fullstack - Phú Nhuận,25
Giao Dịch Viên Tại Hà Nội,25
Kỹ Sư Hệ Thống ( System Engineer ),25
Thực Tập Sinh PHP,25
Product Manager - Channel (Up To 2000 Usd Net),25
Nhân Viên Quản Trị Chất Lượng (Không Yêu Cầu Kinh Nghiệm),25
Chuyên Viên Chính Bán Và Khai Thác Tài Sản Đảm Bảo - Qltd - MSB - 1P295,25
Nhân Viên Kỹ Thuật Vật Liệu Kim Loại,25
Nhân Viên Kỹ Thuật Vật Liệu Kim Loại,25
